model,params,r2,rmse,aic,rate_of_change,equation
Linear,2,0.8609925743060686,0.005594272414782005,-58.23214385258237,-26.47987273458632,A(t) = 16.5188 + -0.008152 × t
Polynomial 2,3,0.8646734786671573,0.005519707565547065,-56.393164768229326,,A(t) = 1509.3339 + -1.484361×t + 0.00036495×t²
Exponential,3,0.8630471498969408,0.005552775915462411,-56.32148773579688,-26.85410996611245,A(t) = 0.0227 × exp(-0.2685 × (t - 2023))
